,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
2608,2010-02-12,1.8886,1.8886,1.8886,1.8886,1.8886,1.8886,6.75,7.0,6.75,7.0,0.1,0.25
2609,2010-02-15,1.8875,1.8875,1.8875,1.8875,1.8875,1.8875,6.75,7.0,6.75,7.0,0.1,0.25
2610,2010-02-16,1.8941,1.8915,1.9038,1.891,1.891,1.9038,6.75,7.0,6.75,7.0,0.1,0.25
2611,2010-02-17,1.8937,1.8949,1.8956,1.8925,1.8925,1.8956,6.75,7.0,6.75,7.0,0.1,0.25
2612,2010-02-18,1.889,1.8892,1.9015,1.8876,1.8876,1.9015,6.75,7.0,6.75,7.0,0.1,0.25
2613,2010-02-19,1.8952,1.8853,1.8957,1.8845,1.8845,1.8957,6.75,7.0,6.75,7.0,0.1,0.25
2614,2010-02-22,1.8969,1.8969,1.8969,1.8969,1.8969,1.8969,6.75,7.0,6.75,7.0,0.1,0.25
2615,2010-02-23,1.8918,1.8972,1.8972,1.8918,1.8918,1.8972,6.75,7.0,6.75,7.0,0.1,0.25
2616,2010-02-24,1.8955,1.8926,1.8955,1.89,1.89,1.8955,6.75,7.0,6.75,7.0,0.1,0.25
2617,2010-02-25,1.8904,1.8895,1.8904,1.8895,1.8895,1.8904,6.75,7.0,6.75,7.0,0.1,0.25
2618,2010-02-26,1.8955,1.8915,1.9028,1.8894,1.8894,1.9028,6.75,7.0,6.75,7.0,0.1,0.25
2619,2010-03-01,1.8939,1.8921,1.8986,1.8828,1.8828,1.8986,6.75,7.0,6.75,7.0,0.1,0.25
2620,2010-03-02,1.8937,1.8937,1.8937,1.8937,1.8937,1.8937,6.75,7.0,6.75,7.0,0.1,0.25
2621,2010-03-03,1.8856,1.9,1.9040000000000001,1.8825,1.8825,1.9040000000000001,6.75,7.0,6.75,7.0,0.1,0.25
2622,2010-03-04,1.8831,1.8834,1.9016,1.8831,1.8831,1.9016,6.75,7.0,6.75,7.0,0.1,0.25
2623,2010-03-05,1.8862,1.8818,1.8895,1.88,1.88,1.8895,6.75,7.0,6.75,7.0,0.1,0.25
2624,2010-03-08,1.8879,1.882,1.8964,1.8815,1.8815,1.8964,6.75,7.0,6.75,7.0,0.1,0.25
2625,2010-03-09,1.8791,1.8817,1.8894,1.8777,1.8777,1.8894,6.75,7.0,6.75,7.0,0.1,0.25
2626,2010-03-10,1.8839,1.8831,1.8929,1.8778,1.8778,1.8929,6.75,7.0,6.75,7.0,0.1,0.25
2627,2010-03-11,1.8925,1.892,1.8945,1.8826,1.8826,1.8945,6.75,7.0,6.75,7.0,0.1,0.25
2628,2010-03-12,1.8973,1.8942,1.8988,1.8855,1.8855,1.8988,6.75,7.0,6.75,7.0,0.1,0.25
2629,2010-03-15,1.8942,1.8966,1.8984,1.8868,1.8868,1.8984,6.75,7.0,6.75,7.0,0.1,0.25
2630,2010-03-16,1.8941,1.8933,1.8941,1.8885,1.8885,1.8941,6.75,7.0,6.75,7.0,0.1,0.25
2631,2010-03-17,1.8934,1.8951,1.8969999999999998,1.8881,1.8881,1.8969999999999998,6.75,7.0,6.75,7.0,0.1,0.25
2632,2010-03-18,1.8868,1.8889,1.8940000000000001,1.8796,1.8796,1.8940000000000001,6.75,7.0,6.75,7.0,0.1,0.25
2633,2010-03-19,1.8862,1.8866,1.8931,1.8862,1.8862,1.8931,6.75,7.0,6.75,7.0,0.1,0.25
2634,2010-03-22,1.8832,1.8838,1.8839,1.8781,1.8781,1.8839,6.75,7.0,6.75,7.0,0.1,0.25
2635,2010-03-23,1.8832,1.8832,1.8832,1.8832,1.8832,1.8832,6.75,7.0,6.75,7.0,0.1,0.25
2636,2010-03-24,1.8793,1.8812,1.8865,1.8779,1.8779,1.8865,6.75,7.0,6.75,7.0,0.1,0.25
2637,2010-03-25,1.8811,1.8793,1.8874,1.8747,1.8747,1.8874,6.75,7.0,6.75,7.0,0.1,0.25
2638,2010-03-26,1.8865,1.8838,1.8865,1.8838,1.8838,1.8865,6.75,7.0,6.75,7.0,0.1,0.25
2639,2010-03-29,1.8913,1.89,1.8913,1.8847,1.8847,1.8913,6.75,7.0,6.75,7.0,0.1,0.25
2640,2010-03-30,1.8862,1.8919,1.8919,1.8846,1.8846,1.8919,6.75,7.0,6.75,7.0,0.1,0.25
2641,2010-03-31,1.8955,1.8904,1.9005,1.8843,1.8843,1.9005,6.75,7.0,6.75,7.0,0.1,0.25
2642,2010-04-01,1.8942,1.895,1.8951,1.8871,1.8871,1.8951,6.75,7.0,6.75,7.0,0.1,0.25
